中国电信IPTV,#genre#

CCTV1,http://182.138.136.195:4455/udp/239.93.0.184:5140
CCTV2,http://182.138.136.195:4455/udp/239.93.1.23:6000
CCTV3,http://182.138.136.195:4455/udp/239.93.1.11:2223
CCTV4,http://182.138.136.195:4455/udp/239.93.1.105:5140
CCTV5,http://182.138.136.195:4455/udp/239.93.1.12:2224
CCTV6,http://182.138.136.195:4455/udp/239.93.1.13:2226
CCTV7,http://182.138.136.195:4455/udp/239.93.1.67:5140
CCTV8,http://182.138.136.195:4455/udp/239.93.42.39:5140
CCTV9,http://182.138.136.195:4455/udp/239.93.1.24:5140
CCTV10,http://182.138.136.195:4455/udp/239.93.1.28:5140
CCTV11,http://182.138.136.195:4455/udp/239.93.0.102:5140
CCTV12,http://182.138.136.195:4455/udp/239.93.1.30:8124
CCTV13,http://182.138.136.195:4455/udp/239.93.0.66:5140
CCTV14,http://182.138.136.195:4455/udp/239.93.1.29:6000
CCTV15,http://182.138.136.195:4455/udp/239.93.0.103:5140
CCTV16,http://182.138.136.195:4455/udp/239.93.42.54:5140
CCTV16,http://182.138.136.195:4455/udp/239.93.42.63:5140
CCTV17,http://182.138.136.195:4455/udp/239.93.0.92:5140
CCTV5+,http://182.138.136.195:4455/udp/239.93.1.36:8004

四川经济,http://182.138.136.195:4455/udp/239.93.1.101:5140
四川文化,http://182.138.136.195:4455/udp/239.93.1.102:5140
四川新闻,http://182.138.136.195:4455/udp/239.93.0.47:5140
四川影视,http://182.138.136.195:4455/udp/239.93.0.166:5140
四川SCTV7,http://182.138.136.195:4455/udp/239.93.0.219:5140
四川科教,http://182.138.136.195:4455/udp/239.93.42.44:5140
四川乡村,http://182.138.136.195:4455/udp/239.93.0.52:5140
峨眉电影,http://182.138.136.195:4455/udp/239.93.0.252:5140
CDTV1,http://182.138.136.195:4455/udp/239.93.0.16:5140
CDTV2,http://182.138.136.195:4455/udp/239.93.0.17:1239
CDTV3,http://182.138.136.195:4455/udp/239.93.0.18:1238
CDTV4,http://182.138.136.195:4455/udp/239.93.0.19:1250
CDTV5,http://182.138.136.195:4455/udp/239.93.1.231:5140
CDTV6,http://182.138.136.195:4455/udp/239.93.0.21:1251
CDTV8,http://182.138.136.195:4455/udp/239.93.0.22:1252

央视台球,http://182.138.136.195:4455/udp/239.93.0.218:5140
风云音乐,http://182.138.136.195:4455/udp/239.93.0.224:5140
风云足球,http://182.138.136.195:4455/udp/239.93.0.235:5140
风云剧场,http://182.138.136.195:4455/udp/239.93.1.156:5140
世界地理,http://182.138.136.195:4455/udp/239.93.1.157:5140
第一剧场,http://182.138.136.195:4455/udp/239.93.1.197:5140
怀旧剧场,http://182.138.136.195:4455/udp/239.93.1.198:5140
兵器科技,http://182.138.136.195:4455/udp/239.93.1.235:5140
文化精品,http://182.138.136.195:4455/udp/239.93.42.47:5140
女性时尚,http://182.138.136.195:4455/udp/239.93.42.62:5140

星空卫视,http://182.138.136.195:4455/udp/239.93.0.156:2193
凤凰中文,http://182.138.136.195:4455/udp/239.93.0.162:2192
凤凰资讯,http://182.138.136.195:4455/udp/239.93.0.118:2191
CHC高清电影,http://182.138.136.195:4455/udp/239.93.42.5:5140
CHC家庭影院,http://182.138.136.195:4455/udp/239.93.42.6:5140
CHC动作电影,http://182.138.136.195:4455/udp/239.93.42.7:5140
欢笑剧场4K,http://182.138.136.195:4455/udp/239.93.0.145:5140
绚影4K,http://182.138.136.195:4455/udp/239.93.42.33:5140
电影轮播,http://182.138.136.195:4455/udp/239.93.0.43:5140
爱上4K,http://182.138.136.195:4455/udp/239.93.0.97:5140
CCTV4K UHD,http://182.138.136.195:4455/udp/239.93.42.41:5140
CCTV4K UHD,http://182.138.136.195:4455/udp/239.93.42.42:5140

四川卫视,http://182.138.136.195:4455/udp/239.93.0.20:1235
湖南卫视,http://182.138.136.195:4455/udp/239.93.0.88:5140
江苏卫视,http://182.138.136.195:4455/udp/239.93.0.89:5140
浙江卫视,http://182.138.136.195:4455/udp/239.93.0.124:5140
东方卫视,http://182.138.136.195:4455/udp/239.93.0.123:5140
北京卫视,http://182.138.136.195:4455/udp/239.93.0.180:5140
深圳卫视,http://182.138.136.195:4455/udp/239.93.0.182:5140
广东卫视,http://182.138.136.195:4455/udp/239.93.0.181:5140
天津卫视,http://182.138.136.195:4455/udp/239.93.0.167:5140
山东卫视,http://182.138.136.195:4455/udp/239.93.0.168:5140
康巴卫视,http://182.138.136.195:4455/udp/239.93.0.41:5140
江西卫视,http://182.138.136.195:4455//udp/239.93.0.134:5140
东南卫视,http://182.138.136.195:4455//udp/239.93.0.42:5140
黑龙江卫视,http://182.138.136.195:4455/udp/239.93.0.183:5140
重庆卫视,http://182.138.136.195:4455/udp/239.93.1.107:5140
贵州卫视,http://182.138.136.195:4455/udp/239.93.0.131:5140
湖北卫视,http://182.138.136.195:4455/udp/239.93.0.250:5140
安徽卫视,http://182.138.136.195:4455/udp/239.93.1.106:5140
河北卫视,http://182.138.136.195:4455/udp/239.93.0.132:5140
辽宁卫视,http://182.138.136.195:4455/udp/239.93.1.108:5140
河南卫视,http://182.138.136.195:4455/udp/239.93.42.45:5140
广西卫视,http://182.138.136.195:4455/udp/239.93.42.46:5140
甘肃卫视,http://182.138.136.195:4455/udp/239.93.0.81:5140
吉林卫视,http://182.138.136.195:4455/udp/239.93.0.248:5140
云南卫视,http://182.138.136.195:4455/udp/239.93.1.174:5140
陕西卫视,http://182.138.136.195:4455/udp/239.93.0.176:5140
山西卫视,http://182.138.136.195:4455/udp/239.93.0.6:5140
内蒙古卫视,http://182.138.136.195:4455/udp/239.93.0.8:5140
青海卫视,http://182.138.136.195:4455/udp/239.93.0.192:5140
宁夏卫视,http://182.138.136.195:4455/udp/239.93.0.247:5140
西藏卫视,http://182.138.136.195:4455/udp/239.93.0.175:5140
新疆卫视,http://182.138.136.195:4455/udp/239.93.0.194:5140
海南卫视,http://182.138.136.195:4455/udp/239.93.0.80:5140
农林卫视,http://182.138.136.195:4455/udp/239.93.0.100:5140
兵团卫视,http://182.138.136.195:4455/udp/239.93.42.43:5140
厦门卫视,http://182.138.136.195:4455/udp/239.93.42.57:5140
三沙卫视,http://182.138.136.195:4455/udp/239.93.42.58:5140

纪实人文,http://182.138.136.195:4455/udp/239.93.1.137:5140
金鹰纪实,http://182.138.136.195:4455/udp/239.93.0.130:5140
求索记录,http://182.138.136.195:4455/udp/239.93.42.24:5140
精彩影视,http://182.138.136.195:4455/udp/239.93.42.92:5140
动漫秀场,http://182.138.136.195:4455/udp/239.93.42.93:5140
金色学堂,http://182.138.136.195:4455/udp/239.93.42.95:5140
快乐垂钓,http://182.138.136.195:4455/udp/239.93.1.151:5140
法治天地,http://182.138.136.195:4455/udp/239.93.42.96:5140
魅力足球,http://182.138.136.195:4455/udp/239.93.42.97:5140
中国交通,http://182.138.136.195:4455/udp/239.93.0.142:5140
炫动卡通,http://182.138.136.195:4455/udp/239.93.0.173:5140
嘉佳卡通,http://182.138.136.195:4455/udp/239.93.0.246:5140
CETV1,http://182.138.136.195:4455/udp/239.93.1.111:5140
CETV4,http://182.138.136.195:4455/udp/239.93.0.50:5140
爱成都,http://182.138.136.195:4455/udp/239.93.1.104:1234
都市剧场,http://182.138.136.195:4455/udp/239.93.42.30:5140
华语影院,http://182.138.136.195:4455/udp/239.93.42.86:5140
星光院线,http://182.138.136.195:4455/udp/239.93.0.139:5140
全球大片,http://182.138.136.195:4455/udp/239.93.0.105:5140
卡酷动画,http://182.138.136.195:4455/udp/239.93.0.208:5140
金鹰卡通,http://182.138.136.195:4455/udp/239.93.0.108:5140
优漫卡通,http://182.138.136.195:4455/udp/239.93.0.251:5140
青春动漫,http://182.138.136.195:4455/udp/239.93.0.146:5140
财富天下,http://182.138.136.195:4455/udp/239.93.0.116:9136
东方财经,http://182.138.136.195:4455/udp/239.93.0.249:5140
纪实人文,http://182.138.136.195:4455/udp/239.93.1.154:5140
爱宠宠物,http://182.138.136.195:4455/udp/239.93.42.32:5140
中国天气,http://182.138.136.195:4455/udp/239.93.42.66:5140
四海钓鱼,http://182.138.136.195:4455/udp/239.93.0.55:5140

爱怀旧,http://182.138.136.195:4455/udp/239.93.42.21:5140
爱喜剧,http://182.138.136.195:4455/udp/239.93.42.9:5140
爱奇谈,http://182.138.136.195:4455/udp/239.93.42.22:5140
爱科幻,http://182.138.136.195:4455/udp/239.93.42.10:5140
爱院线,http://182.138.136.195:4455/udp/239.93.42.11:5140
爱谍战,http://182.138.136.195:4455/udp/239.93.42.14:5140
爱经典,http://182.138.136.195:4455/udp/239.93.42.13:5140
爱悬疑,http://182.138.136.195:4455/udp/239.93.42.12:5140
爱青春,http://182.138.136.195:4455/udp/239.93.42.16:5140
爱都市,http://182.138.136.195:4455/udp/239.93.42.15:5140
爱幼教,http://182.138.136.195:4455/udp/239.93.42.17:5140
爱玩具,http://182.138.136.195:4455/udp/239.93.42.18:5140
爱动漫,http://182.138.136.195:4455/udp/239.93.42.23:5140
爱电竞,http://182.138.136.195:4455/udp/239.93.42.19:5140
爱赛车,http://182.138.136.195:4455/udp/239.93.42.20:5140

CCTV1,http://n1.jimgo.win:4022/udp/239.93.0.184:5140
CCTV2,http://n1.jimgo.win:4022/udp/239.93.1.23:6000
CCTV3,http://n1.jimgo.win:4022/udp/239.93.1.11:2223
CCTV4,http://n1.jimgo.win:4022/udp/239.93.1.105:5140
CCTV5,http://n1.jimgo.win:4022/udp/239.93.1.12:2224
CCTV6,http://n1.jimgo.win:4022/udp/239.93.1.13:2226
CCTV7,http://n1.jimgo.win:4022/udp/239.93.1.67:5140
CCTV8,http://n1.jimgo.win:4022/udp/239.93.42.39:5140
CCTV9,http://n1.jimgo.win:4022/udp/239.93.1.24:5140
CCTV10,http://n1.jimgo.win:4022/udp/239.93.1.28:5140
CCTV11,http://n1.jimgo.win:4022/udp/239.93.0.102:5140
CCTV12,http://n1.jimgo.win:4022/udp/239.93.1.30:8124
CCTV13,http://n1.jimgo.win:4022/udp/239.93.0.66:5140
CCTV14,http://n1.jimgo.win:4022/udp/239.93.1.29:6000
CCTV15,http://n1.jimgo.win:4022/udp/239.93.0.103:5140
CCTV16,http://n1.jimgo.win:4022/udp/239.93.42.54:5140
CCTV16,http://n1.jimgo.win:4022/udp/239.93.42.63:5140
CCTV17,http://n1.jimgo.win:4022/udp/239.93.0.92:5140
CCTV5+,http://n1.jimgo.win:4022/udp/239.93.1.36:8004

四川经济,http://n1.jimgo.win:4022/udp/239.93.1.101:5140
四川文化,http://n1.jimgo.win:4022/udp/239.93.1.102:5140
四川新闻,http://n1.jimgo.win:4022/udp/239.93.0.47:5140
四川影视,http://n1.jimgo.win:4022/udp/239.93.0.166:5140
四川SCTV7,http://n1.jimgo.win:4022/udp/239.93.0.219:5140
四川科教,http://n1.jimgo.win:4022/udp/239.93.42.44:5140
四川乡村,http://n1.jimgo.win:4022/udp/239.93.0.52:5140
峨眉电影,http://n1.jimgo.win:4022/udp/239.93.0.252:5140
CDTV1,http://n1.jimgo.win:4022/udp/239.93.0.16:5140
CDTV2,http://n1.jimgo.win:4022/udp/239.93.0.17:1239
CDTV3,http://n1.jimgo.win:4022/udp/239.93.0.18:1238
CDTV4,http://n1.jimgo.win:4022/udp/239.93.0.19:1250
CDTV5,http://n1.jimgo.win:4022/udp/239.93.1.231:5140
CDTV6,http://n1.jimgo.win:4022/udp/239.93.0.21:1251
CDTV8,http://n1.jimgo.win:4022/udp/239.93.0.22:1252

央视台球,http://n1.jimgo.win:4022/udp/239.93.0.218:5140
风云音乐,http://n1.jimgo.win:4022/udp/239.93.0.224:5140
风云足球,http://n1.jimgo.win:4022/udp/239.93.0.235:5140
风云剧场,http://n1.jimgo.win:4022/udp/239.93.1.156:5140
世界地理,http://n1.jimgo.win:4022/udp/239.93.1.157:5140
第一剧场,http://n1.jimgo.win:4022/udp/239.93.1.197:5140
怀旧剧场,http://n1.jimgo.win:4022/udp/239.93.1.198:5140
兵器科技,http://n1.jimgo.win:4022/udp/239.93.1.235:5140
文化精品,http://n1.jimgo.win:4022/udp/239.93.42.47:5140
女性时尚,http://n1.jimgo.win:4022/udp/239.93.42.62:5140

星空卫视,http://n1.jimgo.win:4022/udp/239.93.0.156:2193
凤凰中文,http://n1.jimgo.win:4022/udp/239.93.0.162:2192
凤凰资讯,http://n1.jimgo.win:4022/udp/239.93.0.118:2191
CHC高清电影,http://n1.jimgo.win:4022/udp/239.93.42.5:5140
CHC家庭影院,http://n1.jimgo.win:4022/udp/239.93.42.6:5140
CHC动作电影,http://n1.jimgo.win:4022/udp/239.93.42.7:5140
欢笑剧场4K,http://n1.jimgo.win:4022/udp/239.93.0.145:5140
绚影4K,http://n1.jimgo.win:4022/udp/239.93.42.33:5140
电影轮播,http://n1.jimgo.win:4022/udp/239.93.0.43:5140
爱上4K,http://n1.jimgo.win:4022/udp/239.93.0.97:5140
CCTV4K UHD,http://n1.jimgo.win:4022/udp/239.93.42.41:5140
CCTV4K UHD,http://n1.jimgo.win:4022/udp/239.93.42.42:5140

四川卫视,http://n1.jimgo.win:4022/udp/239.93.0.20:1235
湖南卫视,http://n1.jimgo.win:4022/udp/239.93.0.88:5140
江苏卫视,http://n1.jimgo.win:4022/udp/239.93.0.89:5140
浙江卫视,http://n1.jimgo.win:4022/udp/239.93.0.124:5140
东方卫视,http://n1.jimgo.win:4022/udp/239.93.0.123:5140
北京卫视,http://n1.jimgo.win:4022/udp/239.93.0.180:5140
深圳卫视,http://n1.jimgo.win:4022/udp/239.93.0.182:5140
广东卫视,http://n1.jimgo.win:4022/udp/239.93.0.181:5140
天津卫视,http://n1.jimgo.win:4022/udp/239.93.0.167:5140
山东卫视,http://n1.jimgo.win:4022/udp/239.93.0.168:5140
康巴卫视,http://n1.jimgo.win:4022/udp/239.93.0.41:5140
江西卫视,http://n1.jimgo.win:4022//udp/239.93.0.134:5140
东南卫视,http://n1.jimgo.win:4022//udp/239.93.0.42:5140
黑龙江卫视,http://n1.jimgo.win:4022/udp/239.93.0.183:5140
重庆卫视,http://n1.jimgo.win:4022/udp/239.93.1.107:5140
